CCSR Category,CCSR Category Description,Clinical Domain,ICD-10-PCS Root Operations,ICD-10-PCS Body Parts,ICD-10-PCS Devices,ICD-10-PCS Approaches
GIS016,GI system endoscopic therapeutic procedures,Gastrointestinal System Procedures,"Excision, Destruction, Resection","Transverse Colon, Ascending Colon, Sigmoid Colon, Rectum, Cecum, Descending Colon, Stomach, Duodenum, ""Stomach, Pylorus"", Large Intestine, Jejunum, Anus, Esophagus, ""Large Intestine, Right"", Ileocecal Valve, Esophagogastric Junction, ""Esophagus, Lower"", Small Intestine, Ileum, ""Large Intestine, Left"", ""Esophagus, Middle"", ""Esophagus, Upper"", Omentum, Peritoneum, Appendix, Mesentery, Anal Sphincter",No Device,"Via Natural or Artificial Opening Endoscopic, Via Natural or Artificial Opening, Percutaneous"
GIS017,Gastrostomy,Gastrointestinal System Procedures,"Insertion, Revision, Bypass",Stomach,"Feeding Device, No Device, Synthetic Substitute, Autologous Tissue Substitute","Percutaneous, Via Natural or Artificial Opening, Percutaneous Endoscopic, Via Natural or Artificial Opening Endoscopic, Open, External"
GIS018,Ileostomy and colostomy,Gastrointestinal System Procedures,Bypass,"Ileum, Sigmoid Colon, Descending Colon, Transverse Colon, Large Intestine, Ascending Colon, Jejunum, Cecum, Small Intestine, Duodenum","No Device, Autologous Tissue Substitute, Synthetic Substitute, Nonautologous Tissue Substitute","Open, Percutaneous Endoscopic, Percutaneous, Via Natural or Artificial Opening Endoscopic"
GIS019,Gastro-jejunal bypass (including bariatric),Gastrointestinal System Procedures,Bypass,Stomach,"No Device, Autologous Tissue Substitute, Synthetic Substitute, Nonautologous Tissue Substitute","Percutaneous Endoscopic, Open, Via Natural or Artificial Opening Endoscopic"
GIS020,Anorectal repair (3rd and 4th degree obstetrical repairs and other),Gastrointestinal System Procedures,Repair,"Anal Sphincter, Rectum, Anus",No Device,"Open, Percutaneous Endoscopic, Via Natural or Artificial Opening, Via Natural or Artificial Opening Endoscopic, External, Percutaneous"
GIS021,GI system repair (excluding anorectal),Gastrointestinal System Procedures,"Repair, Supplement, Replacement","Stomach, Small Intestine, Duodenum, Mesentery, Ileum, ""Stomach, Pylorus"", Jejunum, Sigmoid Colon, Transverse Colon, Large Intestine, Omentum, Esophagogastric Junction, Rectum, Esophagus, Cecum, Peritoneum, Descending Colon, ""Esophagus, Lower"", Ascending Colon, ""Esophagus, Upper"", ""Large Intestine, Right"", ""Large Intestine, Left"", ""Esophagus, Middle"", Anus, Ileocecal Valve, Appendix, Anal Sphincter","No Device, Autologous Tissue Substitute, Synthetic Substitute, Nonautologous Tissue Substitute","Open, Percutaneous Endoscopic, Via Natural or Artificial Opening Endoscopic, Percutaneous, Via Natural or Artificial Opening, External"
GIS022,GI system lysis of adhesions,Gastrointestinal System Procedures,Release,"Small Intestine, Peritoneum, Omentum, Large Intestine, Sigmoid Colon, Ileum, Transverse Colon, Stomach, Jejunum, Cecum, Duodenum, Mesentery, Rectum, ""Large Intestine, Right"", Descending Colon, Ascending Colon, ""Large Intestine, Left"", Appendix, Esophagus, Ileocecal Valve, Esophagogastric Junction, ""Stomach, Pylorus"", ""Esophagus, Lower"", Anus, ""Esophagus, Middle"", ""Esophagus, Upper"", Anal Sphincter",No Device,"Open, Percutaneous Endoscopic, Percutaneous, Via Natural or Artificial Opening Endoscopic, Via Natural or Artificial Opening, External"
GIS023,GI transplant,Gastrointestinal System Procedures,Transplantation,"Small Intestine, Large Intestine, Stomach",No Device,Open
GIS024,Other peritoneal cavity procedures,Gastrointestinal System Procedures,"Drainage, Removal, Insertion, Extirpation, Change, Revision, Bypass","Peritoneal Cavity, Pelvic Cavity, Peritoneum","No Device, Infusion Device, Drainage Device, Synthetic Substitute, Other Device","Open, Percutaneous Endoscopic, External, Percutaneous, Via Natural or Artificial Opening, Via Natural or Artificial Opening Endoscopic"
GIS025,Other GI system device procedures,Gastrointestinal System Procedures,"Insertion, Change, Removal, Revision","Jejunum, Upper Intestinal Tract, Stomach, Lower Intestinal Tract, Duodenum, Esophagus, Small Intestine, Gastrointestinal Tract, Peritoneum, Large Intestine, Rectum, Omentum, Ileum, Anus","Feeding Device, Extraluminal Device, Intraluminal Device, Infusion Device, Other Device, Synthetic Substitute, Stimulator Lead, Monitoring Device, Autologous Tissue Substitute, Artificial Sphincter, Nonautologous Tissue Substitute","External, Via Natural or Artificial Opening, Percutaneous, Via Natural or Artificial Opening Endoscopic, Open, Percutaneous Endoscopic"
GIS026,"Upper GI therapeutic procedures, NEC (open and laparoscopic)",Gastrointestinal System Procedures,"Bypass, Restriction, Reposition, Division, Extirpation, Transfer, Dilation, Occlusion, Reattachment, Fragmentation","Esophagogastric Junction, Stomach, Ileum, Duodenum, Small Intestine, ""Stomach, Pylorus"", Jejunum, Esophagus, ""Esophagus, Lower"", Gastrointestinal Tract, ""Esophagus, Upper"", ""Esophagus, Middle""","No Device, Extraluminal Device, Autologous Tissue Substitute, Intraluminal Device, Synthetic Substitute, Nonautologous Tissue Substitute","Percutaneous Endoscopic, Open"
GIS027,"Upper GI therapeutic procedures, NEC (endoscopic)",Gastrointestinal System Procedures,"Dilation, Occlusion, Extirpation, Division, Restriction, Reposition, Bypass, Fragmentation","Esophageal Vein, Esophagus, ""Esophagus, Lower"", Stomach, Esophagogastric Junction, Duodenum, ""Esophagus, Upper"", ""Esophagus, Middle"", ""Stomach, Pylorus"", Jejunum, Gastric Vein, Small Intestine, Gastrointestinal Tract","No Device, Extraluminal Device, Intraluminal Device, Synthetic Substitute","Via Natural or Artificial Opening Endoscopic, Via Natural or Artificial Opening, Percutaneous, External"
GIS028,"Lower GI therapeutic procedures, NEC (open and laparoscopic)",Gastrointestinal System Procedures,"Reposition, Bypass, Extirpation, Dilation, Division, Transfer, Occlusion, Restriction, Reattachment","Rectum, Descending Colon, Sigmoid Colon, Transverse Colon, Large Intestine, Cecum, Ascending Colon, Anal Sphincter, Mesentery, Omentum, Anus, Appendix, ""Large Intestine, Right"", Ileocecal Valve, ""Large Intestine, Left""","No Device, Autologous Tissue Substitute, Intraluminal Device, Extraluminal Device, Synthetic Substitute","Open, Percutaneous Endoscopic"
GIS029,"Lower GI therapeutic procedures, NEC (excluding open and laparoscopic)",Gastrointestinal System Procedures,"Dilation, Extirpation, Reposition, Occlusion, Division, Bypass, Restriction, Fragmentation","Rectum, Sigmoid Colon, Anus, Large Intestine, Transverse Colon, Ileum, Descending Colon, Cecum, Ascending Colon, Ileocecal Valve, ""Large Intestine, Left"", Anal Sphincter, ""Large Intestine, Right"", Appendix, Mesentery","No Device, Intraluminal Device, Autologous Tissue Substitute, Synthetic Substitute","Via Natural or Artificial Opening Endoscopic, Via Natural or Artificial Opening, External, Percutaneous"
GNR001,Cosmetic procedures,General Region Procedures,Alteration,"Abdominal Wall, Face, ""Subcutaneous Tissue and Fascia, Abdomen"", ""Breast, Bilateral"", Nasal Mucosa and Soft Tissue, Lower Jaw, Neck, ""Subcutaneous Tissue and Fascia, Right Upper Leg"", ""Subcutaneous Tissue and Fascia, Left Upper Leg"", ""Breast, Right"", ""Breast, Left"", ""Upper Eyelid, Right"", ""Subcutaneous Tissue and Fascia, Back"", ""Upper Eyelid, Left"", ""Subcutaneous Tissue and Fascia, Buttock"", ""Lower Eyelid, Left"", ""Lower Eyelid, Right"", Upper Lip, ""Subcutaneous Tissue and Fascia, Face"", ""Subcutaneous Tissue and Fascia, Left Neck"", ""Subcutaneous Tissue and Fascia, Right Neck"", ""Subcutaneous Tissue and Fascia, Chest"", Lower Lip, ""Subcutaneous Tissue and Fascia, Right Upper Arm"", ""Subcutaneous Tissue and Fascia, Left Upper Arm"", ""Upper Leg, Left"", ""Upper Leg, Right"", ""Subcutaneous Tissue and Fascia, Left Lower Leg"", ""Upper Arm, Left"", ""Upper Arm, Right"", ""Buttock, Left"", ""Buttock, Right"", ""Subcutaneous Tissue and Fascia, Right Lower Leg"", Head, Upper Jaw, Chest Wall, ""Perineum, Female"", ""Subcutaneous Tissue and Fascia, Left Lower Arm"", ""Subcutaneous Tissue and Fascia, Right Lower Arm"", ""Knee Region, Left"", ""Knee Region, Right"", ""External Ear, Bilateral"", ""Lower Arm, Right"", ""Upper Extremity, Left"", ""Upper Extremity, Right"", ""External Ear, Right"", ""Perineum, Male"", Upper Back, ""Axilla, Left"", ""Axilla, Right"", ""Lower Extremity, Left"", ""Lower Extremity, Right""","No Device, Autologous Tissue Substitute, Synthetic Substitute, Nonautologous Tissue Substitute","Open, Percutaneous, External, Percutaneous Endoscopic"
GNR002,Abdominal wall repair (including hernia),General Region Procedures,"Repair, Supplement",Abdominal Wall,"No Device, Synthetic Substitute, Autologous Tissue Substitute, Nonautologous Tissue Substitute","Open, Percutaneous Endoscopic, External, Percutaneous"
GNR003,Inguinal and femoral hernia repair,General Region Procedures,"Supplement, Repair","""Inguinal Region, Right"", ""Inguinal Region, Left"", ""Inguinal Region, Bilateral"", ""Femoral Region, Right"", ""Femoral Region, Left"", ""Femoral Region, Bilateral""","Synthetic Substitute, No Device, Nonautologous Tissue Substitute, Autologous Tissue Substitute","Open, Percutaneous Endoscopic, External, Percutaneous"
GNR004,Endoscopic control of bleeding,General Region Procedures,Control,"Gastrointestinal Tract, Genitourinary Tract, Nasal Mucosa and Soft Tissue, Respiratory Tract, Oral Cavity and Throat",No Device,"Via Natural or Artificial Opening Endoscopic, Via Natural or Artificial Opening"
GNR005,Control of bleeding (non-endoscopic),General Region Procedures,Control,"Peritoneal Cavity, Gastrointestinal Tract, Genitourinary Tract, Abdominal Wall, Cranial Cavity, Pelvic Cavity, Mediastinum, Chest Wall, Neck, Retroperitoneum, Oral Cavity and Throat, Pericardial Cavity, Respiratory Tract, ""Femoral Region, Right"", ""Lower Leg, Left"", ""Upper Leg, Right"", ""Upper Leg, Left"", Lower Back, ""Pleural Cavity, Right"", Head, ""Lower Leg, Right"", ""Femoral Region, Left"", ""Upper Arm, Left"", ""Pleural Cavity, Left"", ""Perineum, Female"", ""Inguinal Region, Right"", ""Lower Arm, Left"", Face, ""Lower Arm, Right"", ""Lower Extremity, Left"", ""Upper Arm, Right"", ""Foot, Right"", ""Perineum, Male"", ""Upper Extremity, Left"", ""Lower Extremity, Right"", ""Axilla, Right"", Upper Back, ""Foot, Left"", ""Knee Region, Right"", ""Inguinal Region, Left"", ""Upper Extremity, Right"", ""Knee Region, Left"", ""Buttock, Right"", ""Buttock, Left"", ""Hand, Right"", ""Axilla, Left"", ""Shoulder Region, Right"", ""Wrist Region, Left"", ""Ankle Region, Right"", Lower Jaw, ""Wrist Region, Right"", ""Hand, Left"", ""Elbow Region, Left"", ""Shoulder Region, Left"", ""Ankle Region, Left"", Upper Jaw, ""Elbow Region, Right""",No Device,"Open, Percutaneous Endoscopic, Percutaneous, External"
GNR006,"Chest wall procedures, NEC",General Region Procedures,"Drainage, Excision, Repair, Removal, Supplement, Inspection, Insertion, Change, Revision, Reattachment",Chest Wall,"No Device, Drainage Device, Infusion Device, Synthetic Substitute, Other Device, Autologous Tissue Substitute, Nonautologous Tissue Substitute","Open, Percutaneous, External, Percutaneous Endoscopic"
GNR007,"Mediastinal procedures, NEC",General Region Procedures,"Excision, Drainage, Extirpation, Inspection, Removal, Repair, Supplement, Insertion, Change, Revision",Mediastinum,"No Device, Drainage Device, Synthetic Substitute, Autologous Tissue Substitute, Other Device, Infusion Device, Nonautologous Tissue Substitute","Open, Percutaneous Endoscopic, Percutaneous, External"
GNR008,"Abdominal wall procedures, NEC",General Region Procedures,"Drainage, Removal, Excision, Inspection, Change, Insertion, Revision",Abdominal Wall,"No Device, Drainage Device, Synthetic Substitute, Infusion Device, Other Device, Nonautologous Tissue Substitute, Autologous Tissue Substitute","Open, Percutaneous, Percutaneous Endoscopic, External"
GNR009,"Retroperitoneal procedures, NEC",General Region Procedures,"Excision, Drainage, Inspection, Extirpation, Change, Removal, Revision, Insertion",Retroperitoneum,"No Device, Drainage Device, Other Device","Percutaneous, Open, Percutaneous Endoscopic, External"
GNR010,"Genitourinary tract procedures, NEC",General Region Procedures,"Insertion, Inspection, Extirpation, Removal, Fragmentation",Genitourinary Tract,"Other Device, No Device, Infusion Device","Via Natural or Artificial Opening Endoscopic, Via Natural or Artificial Opening, Percutaneous Endoscopic, Open, Percutaneous, External"
HEP001,Liver biopsy,Hepatobiliary and Pancreas Procedures,"Excision, Extraction, Drainage, Inspection","Liver, ""Liver, Right Lobe"", ""Liver, Left Lobe""",No Device,"Percutaneous, Percutaneous Endoscopic, Open"
HEP002,Pancreaticobiliary biopsy,Hepatobiliary and Pancreas Procedures,"Excision, Inspection, Drainage, Extraction","Pancreas, Hepatobiliary Duct, Gallbladder, Common Bile Duct, ""Hepatic Duct, Common"", Pancreatic Duct, ""Hepatic Duct, Left"", Ampulla of Vater, ""Hepatic Duct, Right"", Cystic Duct",No Device,"Percutaneous, Percutaneous Endoscopic, Open, Via Natural or Artificial Opening, External"
HEP003,Diagnostic ERCP with or without biopsy,Hepatobiliary and Pancreas Procedures,"Excision, Inspection, Extraction, Drainage","Pancreas, Common Bile Duct, Hepatobiliary Duct, Pancreatic Duct, Ampulla of Vater, ""Hepatic Duct, Common"", ""Hepatic Duct, Right"", ""Hepatic Duct, Left"", Gallbladder, Cystic Duct, ""Pancreatic Duct, Accessory""",No Device,Via Natural or Artificial Opening Endoscopic
HEP004,Hepatobiliary resection and ablation,Hepatobiliary and Pancreas Procedures,"Excision, Destruction, Resection","""Liver, Right Lobe"", Liver, ""Liver, Left Lobe"", Common Bile Duct, ""Hepatic Duct, Common"", Cystic Duct, ""Hepatic Duct, Right"", Gallbladder, ""Hepatic Duct, Left""",No Device,"Open, Percutaneous Endoscopic, Percutaneous, Via Natural or Artificial Opening Endoscopic"
HEP005,Pancreatectomy,Hepatobiliary and Pancreas Procedures,"Excision, Resection, Destruction","Pancreas, Ampulla of Vater, Pancreatic Duct",No Device,"Open, Percutaneous Endoscopic, Via Natural or Artificial Opening Endoscopic, Percutaneous"
HEP006,Cholecystectomy,Hepatobiliary and Pancreas Procedures,"Resection, Inspection, Excision",Gallbladder,No Device,"Percutaneous Endoscopic, Open, Percutaneous, Via Natural or Artificial Opening Endoscopic"
HEP007,Biliary and pancreatic calculus removal,Hepatobiliary and Pancreas Procedures,"Extirpation, Fragmentation","Common Bile Duct, Pancreatic Duct, ""Hepatic Duct, Common"", Cystic Duct, Gallbladder, ""Hepatic Duct, Left"", ""Hepatic Duct, Right"", Ampulla of Vater, Pancreas, Liver, ""Liver, Right Lobe"", ""Liver, Left Lobe"", ""Pancreatic Duct, Accessory""",No Device,"Via Natural or Artificial Opening Endoscopic, Percutaneous Endoscopic, Open, Percutaneous, Via Natural or Artificial Opening, External"
HEP008,Common bile duct sphincterotomy and stenting,Hepatobiliary and Pancreas Procedures,Dilation,"Common Bile Duct, Ampulla of Vater","Intraluminal Device, No Device","Via Natural or Artificial Opening Endoscopic, Percutaneous, Percutaneous Endoscopic, Open, Via Natural or Artificial Opening"
HEP009,Pancreatic and proximal biliary dilation and stenting,Hepatobiliary and Pancreas Procedures,Dilation,"Pancreatic Duct, ""Hepatic Duct, Right"", ""Hepatic Duct, Left"", ""Hepatic Duct, Common"", Cystic Duct, ""Pancreatic Duct, Accessory""","Intraluminal Device, No Device","Via Natural or Artificial Opening Endoscopic, Percutaneous, Open, Percutaneous Endoscopic, Via Natural or Artificial Opening"
HEP010,Hepatobiliary and pancreatic drainage,Hepatobiliary and Pancreas Procedures,"Drainage, Removal, Change, Insertion, Revision","Gallbladder, Hepatobiliary Duct, Common Bile Duct, Liver, Pancreas, Pancreatic Duct, ""Liver, Right Lobe"", ""Hepatic Duct, Right"", ""Liver, Left Lobe"", ""Hepatic Duct, Left"", Ampulla of Vater, ""Hepatic Duct, Common"", Cystic Duct, ""Pancreatic Duct, Accessory""","Drainage Device, Intraluminal Device, No Device","Percutaneous, Via Natural or Artificial Opening Endoscopic, External, Percutaneous Endoscopic, Open, Via Natural or Artificial Opening"
HEP011,Liver transplant,Hepatobiliary and Pancreas Procedures,Transplantation,Liver,No Device,Open
HEP012,Pancreas transplant,Hepatobiliary and Pancreas Procedures,Transplantation,Pancreas,No Device,Open
HEP013,"Hepatobiliary and pancreatic procedures, NEC",Hepatobiliary and Pancreas Procedures,"Release, Bypass, Repair, Insertion, Occlusion, Supplement, Removal, Change, Reposition, Performance, Restriction, Revision, Replacement, Division, Reattachment","Liver, Gallbladder, Common Bile Duct, ""Hepatic Duct, Common"", Pancreas, ""Liver, Right Lobe"", ""Liver, Left Lobe"", ""Hepatic Duct, Right"", Pancreatic Duct, Cystic Duct, ""Hepatic Duct, Left"", Hepatobiliary Duct, Ampulla of Vater, Biliary, ""Pancreatic Duct, Accessory""","No Device, Intraluminal Device, Other Device, Autologous Tissue Substitute, Synthetic Substitute, Infusion Device, Extraluminal Device, Filtration, Nonautologous Tissue Substitute","Open, Percutaneous Endoscopic, Percutaneous, Via Natural or Artificial Opening Endoscopic, External, Multiple, Single, Via Natural or Artificial Opening"
IMG001,Cardiac and coronary fluoroscopy,Imaging,Fluoroscopy,"""Coronary Arteries, Multiple"", ""Heart, Left"", ""Coronary Artery Bypass Grafts, Multiple"", ""Internal Mammary Bypass Graft, Left"", ""Coronary Artery Bypass Graft, Single"", ""Heart, Right and Left"", ""Coronary Artery, Single"", ""Heart, Right"", ""Internal Mammary Bypass Graft, Right"", ""Bypass Graft, Other""","None, Laser","Low Osmolar, Other Contrast, High Osmolar"
